session_id,idx,time_ms,action,value
Analytics_Data_Attempt_1,0,110000,damaged_enemy,1.0
Analytics_Data_Attempt_1,1,110000,damaged_enemy,1.0
Analytics_Data_Attempt_1,2,134000,damaged_enemy,1.0
Analytics_Data_Attempt_1,3,134000,damaged_enemy,1.0
Analytics_Data_Attempt_1,4,136000,damaged_player,0.1
Analytics_Data_Attempt_1,5,136000,damaged_player,0.1
Analytics_Data_Attempt_1,6,136000,damaged_player,0.1
Analytics_Data_Attempt_1,7,136000,damaged_enemy,2.0
Analytics_Data_Attempt_1,8,136000,damaged_player,0.1
Analytics_Data_Attempt_1,9,136000,damaged_player,0.1
Analytics_Data_Attempt_1,10,136000,damaged_player,0.1
Analytics_Data_Attempt_1,11,136000,damaged_player,0.1
Analytics_Data_Attempt_1,12,136000,damaged_player,0.1
Analytics_Data_Attempt_1,13,137000,damaged_player,0.1
Analytics_Data_Attempt_1,14,137000,damaged_player,0.1
Analytics_Data_Attempt_1,15,163000,damaged_enemy,1.0
Analytics_Data_Attempt_1,16,163000,damaged_enemy,1.0
Analytics_Data_Attempt_1,17,165000,damaged_enemy,1.0
Analytics_Data_Attempt_1,18,166000,damaged_player,0.1
Analytics_Data_Attempt_1,19,166000,damaged_enemy,1.0
Analytics_Data_Attempt_1,20,166000,damaged_player,0.1
Analytics_Data_Attempt_1,21,166000,damaged_player,1.0
Analytics_Data_Attempt_1,22,166000,damaged_player,0.1
Analytics_Data_Attempt_1,23,166000,damaged_player,0.1
Analytics_Data_Attempt_1,24,166000,damaged_player,0.1
Analytics_Data_Attempt_1,25,167000,damaged_player,0.1
Analytics_Data_Attempt_1,26,167000,damaged_player,0.1
Analytics_Data_Attempt_1,27,167000,damaged_player,0.1
Analytics_Data_Attempt_1,28,167000,damaged_enemy,2.0
Analytics_Data_Attempt_1,29,167000,damaged_enemy,2.0
Analytics_Data_Attempt_1,30,167000,damaged_enemy,2.0
Analytics_Data_Attempt_1,31,167000,damaged_enemy,2.0
Analytics_Data_Attempt_1,32,168000,damaged_player,0.1
Analytics_Data_Attempt_1,33,168000,damaged_player,1.0
Analytics_Data_Attempt_1,34,168000,damaged_player,0.1
Analytics_Data_Attempt_1,35,168000,damaged_player,0.1
Analytics_Data_Attempt_1,36,168000,damaged_player,0.1
Analytics_Data_Attempt_1,37,168000,damaged_player,0.1
Analytics_Data_Attempt_1,38,168000,damaged_player,0.1
Analytics_Data_Attempt_1,39,168000,damaged_enemy,1.0
Analytics_Data_Attempt_1,40,168000,damaged_enemy,1.0
Analytics_Data_Attempt_1,41,169000,damaged_enemy,1.0
Analytics_Data_Attempt_1,42,170000,damaged_player,0.25
Analytics_Data_Attempt_1,43,170000,damaged_player,0.25
Analytics_Data_Attempt_1,44,172000,damaged_player,0.25
Analytics_Data_Attempt_1,45,202000,damaged_enemy,1.0
Analytics_Data_Attempt_1,46,202000,enemy_death,
Analytics_Data_Attempt_1,47,215000,damaged_player,1.0
Analytics_Data_Attempt_1,48,215000,damaged_enemy,1.0
Analytics_Data_Attempt_1,49,216000,damaged_enemy,1.0
Analytics_Data_Attempt_1,50,228000,damaged_enemy,2.0
Analytics_Data_Attempt_1,51,229000,damaged_enemy,1.0
Analytics_Data_Attempt_1,52,230000,damaged_enemy,1.0
Analytics_Data_Attempt_1,53,230000,enemy_death,
Analytics_Data_Attempt_1,54,269000,damaged_enemy,0.5
Analytics_Data_Attempt_1,55,270000,damaged_enemy,0.5
Analytics_Data_Attempt_1,56,271000,damaged_enemy,0.5
Analytics_Data_Attempt_1,57,271000,damaged_enemy,1.0
Analytics_Data_Attempt_1,58,271000,damaged_enemy,1.0
Analytics_Data_Attempt_1,59,272000,damaged_enemy,0.5
Analytics_Data_Attempt_1,60,273000,damaged_player,1.0
Analytics_Data_Attempt_1,61,273000,damaged_enemy,0.5
Analytics_Data_Attempt_1,62,273000,damaged_enemy,0.5
Analytics_Data_Attempt_1,63,274000,damaged_enemy,0.5
Analytics_Data_Attempt_1,64,274000,damaged_player,1.0
Analytics_Data_Attempt_1,65,277000,damaged_enemy,0.5
Analytics_Data_Attempt_1,66,277000,enemy_death,
Analytics_Data_Attempt_1,67,281000,damaged_enemy,0.5
Analytics_Data_Attempt_1,68,282000,damaged_player,0.1
Analytics_Data_Attempt_1,69,283000,damaged_player,0.1
Analytics_Data_Attempt_1,70,283000,damaged_player,0.1
Analytics_Data_Attempt_1,71,283000,damaged_enemy,0.5
Analytics_Data_Attempt_1,72,283000,damaged_player,0.1
Analytics_Data_Attempt_1,73,283000,damaged_player,0.1
Analytics_Data_Attempt_1,74,283000,damaged_player,0.1
Analytics_Data_Attempt_1,75,283000,damaged_player,0.1
Analytics_Data_Attempt_1,76,283000,damaged_player,0.1
Analytics_Data_Attempt_1,77,283000,damaged_player,0.1
Analytics_Data_Attempt_1,78,283000,damaged_player,0.1
Analytics_Data_Attempt_1,79,284000,damaged_enemy,1.0
Analytics_Data_Attempt_1,80,286000,damaged_enemy,0.5
Analytics_Data_Attempt_1,81,286000,damaged_player,0.1
Analytics_Data_Attempt_1,82,286000,damaged_player,0.1
Analytics_Data_Attempt_1,83,286000,damaged_enemy,0.5
Analytics_Data_Attempt_1,84,286000,damaged_player,0.1
Analytics_Data_Attempt_1,85,286000,damaged_player,0.1
Analytics_Data_Attempt_1,86,286000,damaged_enemy,0.5
Analytics_Data_Attempt_1,87,287000,damaged_player,0.1
Analytics_Data_Attempt_1,88,287000,damaged_player,0.1
Analytics_Data_Attempt_1,89,287000,damaged_player,0.1
Analytics_Data_Attempt_1,90,287000,damaged_player,0.1
Analytics_Data_Attempt_1,91,287000,damaged_player,0.1
Analytics_Data_Attempt_1,92,287000,damaged_player,0.1
Analytics_Data_Attempt_1,93,292000,damaged_enemy,0.5
Analytics_Data_Attempt_1,94,293000,damaged_enemy,1.0
Analytics_Data_Attempt_1,95,293000,damaged_enemy,0.5
Analytics_Data_Attempt_1,96,294000,damaged_player,0.1
Analytics_Data_Attempt_1,97,294000,damaged_enemy,0.5
Analytics_Data_Attempt_1,98,294000,damaged_player,0.1
